model,provider,context,quality,price,speed,latency,scraped_at
Gemini 3.1 Pro Preview,Google,1m,57.0,4.5,103.0,30.27,2026-02-25
Claude Opus 4.6 (max),Anthropic,200k,53.0,10.0,74.0,1.61,2026-02-25
Claude Sonnet 4.6 (max),Anthropic,200k,51.0,6.0,57.0,0.69,2026-02-25
GPT-5.2 (xhigh),OpenAI,400k,51.0,4.81,89.0,37.56,2026-02-25
GLM-5,Z AI,200k,50.0,1.55,70.0,1.38,2026-02-25
GPT-5.2 Codex (xhigh),OpenAI,400k,49.0,4.81,96.0,23.46,2026-02-25
Kimi K2.5,Kimi,256k,47.0,1.2,42.0,1.25,2026-02-25
GPT-5.2 (medium),OpenAI,400k,47.0,4.81,0.0,0.0,2026-02-25
Gemini 3 Flash,Google,1m,46.0,1.13,208.0,12.63,2026-02-25
Claude Opus 4.6,Anthropic,200k,46.0,10.0,67.0,1.6,2026-02-25
Qwen3.5 397B A17B,Alibaba,262k,45.0,1.35,63.0,1.33,2026-02-25
Claude Sonnet 4.6,Anthropic,200k,44.0,6.0,55.0,0.73,2026-02-25
"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",Anthropic,200k,43.0,6.0,56.0,0.71,2026-02-25
MiniMax-M2.5,MiniMax,205k,42.0,0.53,53.0,3.63,2026-02-25
DeepSeek V3.2,DeepSeek,128k,42.0,0.32,50.0,1.21,2026-02-25
Grok 4,xAI,256k,41.0,6.0,43.0,11.7,2026-02-25
MiMo-V2-Flash (Feb 2026),Xiaomi,256k,41.0,0.15,164.0,1.26,2026-02-25
Gemini 3 Pro Preview (low),Google,1m,41.0,4.5,143.0,4.63,2026-02-25
GPT-5 mini (high),OpenAI,400k,41.0,0.69,76.0,101.69,2026-02-25
Qwen3 Max Thinking,Alibaba,256k,40.0,2.4,35.0,1.73,2026-02-25
GPT-5.1 Codex mini (high),OpenAI,400k,39.0,0.69,161.0,10.43,2026-02-25
Grok 4.1 Fast,xAI,2m,39.0,0.28,154.0,14.47,2026-02-25
o3,OpenAI,200k,38.0,3.5,145.0,13.94,2026-02-25
Claude 4.5 Haiku,Anthropic,200k,37.0,2.0,120.0,0.46,2026-02-25
Nova 2.0 Pro Preview (medium),Amazon,256k,36.0,3.44,133.0,19.72,2026-02-25
KAT-Coder-Pro V1,KwaiKAT,256k,36.0,0.53,58.0,2.19,2026-02-25
Gemini 2.5 Pro,Google,1m,34.0,3.44,152.0,38.18,2026-02-25
GPT-5.2,OpenAI,400k,34.0,4.81,75.0,0.55,2026-02-25
gpt-oss-120B (high),OpenAI,131k,33.0,0.26,331.0,0.48,2026-02-25
Mercury 2,Inception,128k,33.0,0.38,1196.0,12.74,2026-02-25
Qwen3 Max Thinking (Preview),Alibaba,262k,32.0,2.4,60.0,1.7,2026-02-25
Grok 3 mini Reasoning (high),xAI,1m,32.0,0.35,195.0,0.76,2026-02-25
Nova 2.0 Pro Preview (low),Amazon,256k,32.0,3.44,133.0,12.13,2026-02-25
Qwen3 Max,Alibaba,262k,31.0,2.4,27.0,2.39,2026-02-25
MiMo-V2-Flash,Xiaomi,256k,31.0,0.15,143.0,1.18,2026-02-25
GLM-4.7-Flash,Z AI,200k,30.0,0.15,49.0,0.69,2026-02-25
Nova 2.0 Lite (medium),Amazon,1m,30.0,0.85,243.0,17.41,2026-02-25
Grok Code Fast 1,xAI,256k,29.0,0.53,365.0,7.03,2026-02-25
Qwen3 235B A22B 2507,Alibaba,256k,29.0,2.63,40.0,1.29,2026-02-25
Qwen3 Coder Next,Alibaba,256k,28.0,0.53,114.0,0.76,2026-02-25
Magistral Medium 1.2,Mistral,128k,27.0,2.75,30.0,0.51,2026-02-25
GPT-5 nano (high),OpenAI,400k,27.0,0.14,132.0,125.37,2026-02-25
Qwen3 Next 80B A3B,Alibaba,262k,26.0,1.88,141.0,1.08,2026-02-25
Qwen3 235B 2507,Alibaba,256k,25.0,1.23,45.0,1.03,2026-02-25
Qwen3 Coder 480B,Alibaba,262k,25.0,3.0,57.0,1.7,2026-02-25
Qwen3 VL 32B,Alibaba,256k,25.0,2.63,85.0,1.22,2026-02-25
gpt-oss-20B (high),OpenAI,131k,24.0,0.11,312.0,0.48,2026-02-25
NVIDIA Nemotron 3 Nano,NVIDIA,1m,24.0,0.1,125.0,0.22,2026-02-25
Nova 2.0 Lite (low),Amazon,1m,24.0,0.85,219.0,5.21,2026-02-25
gpt-oss-120B (low),OpenAI,131k,24.0,0.26,346.0,0.43,2026-02-25
Mistral Large 3,Mistral,256k,23.0,0.75,57.0,0.5,2026-02-25
Nova 2.0 Pro Preview,Amazon,256k,23.0,3.44,158.0,0.54,2026-02-25
GLM-4.6V,Z AI,128k,23.0,0.45,74.0,0.66,2026-02-25
Gemini 2.5 Flash-Lite (Sep),Google,1m,22.0,0.17,478.0,19.87,2026-02-25
Qwen3 30B A3B 2507,Alibaba,262k,22.0,0.75,146.0,1.03,2026-02-25
Mistral Medium 3.1,Mistral,128k,21.0,0.8,104.0,0.43,2026-02-25
gpt-oss-20B (low),OpenAI,131k,21.0,0.1,307.0,0.44,2026-02-25
Qwen3 VL 235B A22B,Alibaba,262k,21.0,1.23,44.0,1.21,2026-02-25
Qwen3 Coder 30B A3B,Alibaba,262k,20.0,0.9,21.0,1.34,2026-02-25
Qwen3 VL 30B A3B,Alibaba,256k,20.0,0.75,86.0,0.91,2026-02-25
Nova Premier,Amazon,1m,19.0,5.0,79.0,0.8,2026-02-25
Llama Nemotron Super 49B v1.5,NVIDIA,128k,19.0,0.17,74.0,0.23,2026-02-25
Hermes 4 405B,Nous Research,128k,19.0,1.5,10.0,9.77,2026-02-25
Nova 2.0 Lite,Amazon,1m,18.0,0.85,202.0,0.52,2026-02-25
Llama 4 Maverick,Meta,1m,18.0,0.46,113.0,0.52,2026-02-25
Magistral Small 1.2,Mistral,128k,18.0,0.75,211.0,0.32,2026-02-25
EXAONE 4.0 32B,LG AI Research,131k,17.0,0.7,98.0,0.4,2026-02-25
Qwen3 VL 8B,Alibaba,256k,17.0,0.66,123.0,0.99,2026-02-25
Nova 2.0 Omni,Amazon,1m,17.0,0.85,209.0,0.69,2026-02-25
Hermes 4 70B,Nous Research,128k,16.0,0.2,13.0,0.68,2026-02-25
Ministral 3 14B,Mistral,256k,16.0,0.2,124.0,0.31,2026-02-25
Qwen3 Omni 30B A3B,Alibaba,66k,16.0,0.43,95.0,1.11,2026-02-25
Ministral 3 8B,Mistral,256k,15.0,0.15,175.0,0.29,2026-02-25
ERNIE 4.5 300B A47B,Baidu,131k,15.0,0.48,18.0,1.97,2026-02-25
NVIDIA Nemotron Nano 12B v2 VL,NVIDIA,128k,15.0,0.3,132.0,0.23,2026-02-25
NVIDIA Nemotron Nano 9B V2,NVIDIA,131k,15.0,0.07,106.0,0.41,2026-02-25
Llama Nemotron Ultra,NVIDIA,128k,15.0,0.9,25.0,1.49,2026-02-25
Ling-flash-2.0,InclusionAI,128k,15.0,0.25,57.0,1.49,2026-02-25
Mistral Small 3.2,Mistral,128k,15.0,0.15,129.0,0.3,2026-02-25
Llama 3.3 70B,Meta,128k,14.0,0.68,75.0,0.52,2026-02-25
Llama 3.1 405B,Meta,128k,14.0,4.38,25.0,0.71,2026-02-25
